COUNTRY	CAPITAL	RATING
American Samoa	Pago Pago	1
Cook Islands	Avarua	1
Fiji	Suva	1
French Polynesia	Papeete	1
Guam	Hagåtña	1
Kiribati	Tarawa	1
Marshall Islands	Majuro	1
Nauru	Yaren	1
New Caledonia	Nouméa	1
Niue	Alofi	1
Northern Mariana Islands	Saipan	1
Papua New Guinea	Port Moresby	1
Pitcairn Islands	Adamstown	1
Samoa	Apia	1
Solomon Islands	Honiara	1
Tonga	Nuku‘alofa	1
Tuvalu	Funafuti	1
Vanuatu	Port-Vila	1
Wallis and Futuna	Mata-Utu	1
Australia	Canberra	1
Christmas Island	Flying Fish Cove	1
Cocos (Keeling) Islands	West Island	1
New Zealand	Wellington	1
Norfolk Island	Kingston	1
